ID;Fact_Companion_ID;Companion_ID
763355;152;1
763762;153;1
764154;154;1
764281;155;1
764370;156;1
764623;157;1
764654;158;1
764663;159;1
764703;160;1
764882;161;1
765342;162;1
765501;163;1
765509;164;1
765811;165;1
765990;166;1
766003;167;1
766496;168;1
767694;169;1
767878;170;1
768332;171;1
768521;172;1
768538;173;1
769065;174;1
769207;175;1
769410;176;1
769476;177;1
769484;178;1
769866;179;1
770076;180;1
770510;181;1
770588;182;1
770949;183;1
777021;184;1
777116;185;1
777687;186;1
777899;187;1
777967;188;1
778086;189;1
778115;190;1
778119;191;1
778557;192;1
778745;193;1
779000;194;1
779002;195;1
779711;196;1
779863;197;1
780275;198;1
780377;199;1
780422;200;1
780448;201;1
780545;202;1
780604;203;1
780830;204;1
780835;205;1
781027;206;1
781095;207;1
781110;208;1
781111;209;1
781145;210;1
781266;211;1
781296;212;1
781338;213;1
781344;214;1
781673;215;1
781720;216;1
781753;217;1
781761;218;1
781899;219;1
781969;220;1
782223;221;1
782267;222;1
782281;223;1
782322;224;1
782431;225;1
782475;226;1
783057;227;1
783062;228;1
783177;229;1
783233;230;1
783281;231;1
783322;232;1
783344;233;1
783382;234;1
783412;235;1
783442;236;1
783509;237;1
783544;238;1
783614;239;1
783618;240;1
783665;241;1
783728;242;1
783867;243;1
784021;244;1
784035;245;1
784172;246;1
784316;247;1
784332;248;1
784366;249;1
784403;250;1
784445;251;1
784503;252;1
784954;253;1
785351;254;1
785479;255;1
785671;256;1
785740;257;1
786004;258;1
786173;259;1
786307;260;1
786373;261;1
786374;262;1
786408;263;1
786472;264;1
786479;265;1
786563;266;1
786613;267;1
786733;268;1
786804;269;1
786870;270;1
786912;271;1
786922;272;1
786936;273;1
786952;274;1
786990;275;1
787127;276;1
787135;277;1
787218;278;1
787289;279;1
787315;280;1
787564;281;1
787815;282;1
787887;283;1
787910;284;1
788019;285;1
788487;286;1
788645;287;1
788908;288;1
788918;289;1
788931;290;1
789261;291;1
789295;292;1
789380;293;1
789386;294;1
789440;295;1
789441;296;1
789566;297;1
789578;298;1
789623;299;1
789625;300;1
789631;301;1
789711;302;1
789742;303;1
789761;304;1
789765;305;1
789789;306;1
789857;307;1
789917;308;1
789999;309;1
790008;310;1
790075;311;1
790088;312;1
790187;313;1
790234;314;1
790326;315;1
790336;316;1
790347;317;1
790366;318;1
790494;319;1
790619;320;1
790676;321;1
790898;322;1
790904;323;1
791725;324;1
791730;325;1
791737;326;1
791779;327;1
791788;328;1
791962;329;1
792019;330;1
792023;331;1
792058;332;1
792060;333;1
792069;334;1
792139;335;1
