ID;Visit#Dayofweek;Fact_Visit_Dayofweek_ID;DayofWeek_ID
441974;4.0;497;6
441981;4.0;498;6
442634;4.0;499;6
442635;4.0;500;6
442636;4.0;501;6
442777;4.0;502;6
442781;4.0;503;6
444116;4.0;504;6
444441;4.0;505;6
444443;4.0;506;6
444444;4.0;507;6
444445;4.0;508;6
444447;4.0;509;6
444448;4.0;510;6
444449;4.0;511;6
444450;4.0;512;6
444451;4.0;513;6
444452;4.0;514;6
444453;4.0;515;6
444454;4.0;516;6
444562;4.0;517;6
444590;4.0;518;6
444592;4.0;519;6
444601;4.0;520;6
444603;4.0;521;6
444616;4.0;522;6
444617;4.0;523;6
444620;4.0;524;6
444963;4.0;525;6
444964;4.0;526;6
444974;4.0;527;6
445100;4.0;528;6
445208;4.0;529;6
445209;4.0;530;6
445263;4.0;531;6
445300;4.0;532;6
446046;4.0;533;6
446173;4.0;534;6
446209;4.0;535;6
446215;4.0;536;6
446258;4.0;537;6
446489;4.0;538;6
446584;4.0;539;6
344625;4.0;540;5
344643;4.0;541;5
345343;4.0;542;5
346725;4.0;543;5
346833;4.0;544;5
346925;4.0;545;5
347591;4.0;546;5
347592;4.0;547;5
347593;4.0;548;5
347594;4.0;549;5
348220;4.0;550;5
348221;4.0;551;5
348222;4.0;552;5
348307;4.0;553;5
348309;4.0;554;5
348321;4.0;555;5
348327;4.0;556;5
348398;4.0;557;5
357024;4.0;558;5
357580;4.0;559;5
358030;4.0;560;5
358031;4.0;561;5
358095;4.0;562;5
358230;4.0;563;5
358404;4.0;564;5
358808;4.0;565;5
358809;4.0;566;5
358930;4.0;567;5
358960;4.0;568;5
358962;4.0;569;5
358963;4.0;570;5
359041;4.0;571;5
359144;4.0;572;5
359149;4.0;573;5
359150;4.0;574;5
359151;4.0;575;5
359383;4.0;576;5
359563;4.0;577;5
359564;4.0;578;5
360106;4.0;579;5
360355;4.0;580;5
360588;4.0;581;5
360731;4.0;582;5
360732;4.0;583;5
360734;4.0;584;5
360737;4.0;585;5
361006;4.0;586;5
361518;4.0;587;5
361519;4.0;588;5
361793;4.0;589;5
361794;4.0;590;5
362007;4.0;591;5
362008;4.0;592;5
362512;4.0;593;5
362667;4.0;594;5
362711;4.0;595;5
363279;4.0;596;5
363406;4.0;597;5
365304;4.0;598;5
365739;4.0;599;5
365741;4.0;600;5
365744;4.0;601;5
366024;4.0;602;5
366212;4.0;603;5
366395;4.0;604;5
366447;4.0;605;5
366448;4.0;606;5
366450;4.0;607;5
366452;4.0;608;5
366453;4.0;609;5
366454;4.0;610;5
366455;4.0;611;5
366456;4.0;612;5
366458;4.0;613;5
366936;4.0;614;5
367081;4.0;615;5
367084;4.0;616;5
367085;4.0;617;5
367781;4.0;618;5
368256;4.0;619;5
368267;4.0;620;5
368349;4.0;621;5
377849;4.0;622;5
379451;4.0;623;5
379570;4.0;624;5
382292;4.0;625;5
382905;4.0;626;5
383263;4.0;627;5
383475;4.0;628;5
383606;4.0;629;5
383607;4.0;630;5
383608;4.0;631;5
383728;4.0;632;5
383729;4.0;633;5
383730;4.0;634;5
