ID;Visit#Daypart;Fact_Visit_Daypart_ID;Daypart_ID
797233;2.0;102;1
797467;2.0;103;1
797512;2.0;104;1
797515;2.0;105;1
798046;2.0;106;1
798117;2.0;107;1
799418;2.0;108;1
799734;2.0;109;1
799972;2.0;110;1
799979;2.0;111;1
800056;2.0;112;1
800111;2.0;113;1
800181;2.0;114;1
800216;2.0;115;1
800220;2.0;116;1
800856;2.0;117;1
800858;2.0;118;1
800890;2.0;119;1
801087;2.0;120;1
801100;2.0;121;1
801102;2.0;122;1
801571;2.0;123;1
801598;2.0;124;1
802232;2.0;125;1
802709;2.0;126;1
802800;2.0;127;1
803106;2.0;128;1
803191;2.0;129;1
803206;2.0;130;1
803504;2.0;131;1
803638;2.0;132;1
803976;2.0;133;1
805622;2.0;134;1
805639;2.0;135;1
805746;2.0;136;1
805960;2.0;137;1
805980;2.0;138;1
806143;2.0;139;1
806517;2.0;140;1
806537;2.0;141;1
807477;2.0;142;1
808131;2.0;143;1
808216;2.0;144;1
808494;2.0;145;1
808659;2.0;146;1
808665;2.0;147;1
808769;2.0;148;1
808795;2.0;149;1
809391;2.0;150;1
809884;2.0;151;1
809956;2.0;152;1
809957;2.0;153;1
810447;2.0;154;1
810614;2.0;155;1
810727;2.0;156;1
810743;2.0;157;1
811511;2.0;158;1
812057;2.0;159;1
813209;2.0;160;1
813278;2.0;161;1
813663;2.0;162;1
814121;2.0;163;1
814156;2.0;164;1
814486;2.0;165;1
814651;2.0;166;1
815191;2.0;167;1
815654;2.0;168;1
816052;2.0;169;1
816112;2.0;170;1
816157;2.0;171;1
816555;2.0;172;1
816561;2.0;173;1
816565;2.0;174;1
816970;2.0;175;1
817023;2.0;176;1
817471;2.0;177;1
817568;2.0;178;1
817815;2.0;179;1
817899;2.0;180;1
818139;2.0;181;1
818144;2.0;182;1
818208;2.0;183;1
818269;2.0;184;1
818574;2.0;185;1
819429;2.0;186;1
819555;2.0;187;1
819759;2.0;188;1
819761;2.0;189;1
819850;2.0;190;1
819914;2.0;191;1
819966;2.0;192;1
819998;2.0;193;1
820040;2.0;194;1
820047;2.0;195;1
820094;2.0;196;1
820227;2.0;197;1
821808;2.0;198;1
822603;2.0;199;1
823665;2.0;200;1
823827;2.0;201;1
