ID;Year;Spontaneous;Awareness;Trial;P3M;P1M;Comprehension;Brand_Likability;Weekly;Daily;Fre#visit;PPA;Spending;BH_ID;Brand_ID;City_ID;Segmentation_ID;NPS_ID
399439;2018;0;1;0;0;0;2;0;0;0;;;;131;6;3;;
399443;2018;0;1;0;0;0;2;0;0;0;;;;132;6;3;;
399480;2018;0;1;0;0;0;2;0;0;0;;;;133;6;3;;
401175;2018;0;1;0;0;0;2;0;0;0;;;;134;6;3;;
402685;2018;0;1;0;0;0;2;0;0;0;;;;135;6;3;;
402758;2018;0;1;0;0;0;2;0;0;0;;;;136;6;3;;
402759;2018;0;1;0;0;0;2;0;0;0;;;;137;6;3;;
402814;2018;0;1;0;0;0;2;0;0;0;;;;138;6;3;;
402815;2018;0;1;0;0;0;2;0;0;0;;;;139;6;3;;
402816;2018;0;1;0;0;0;2;0;0;0;;;;140;6;3;;
402817;2018;0;1;0;0;0;2;0;0;0;;;;141;6;3;;
402818;2018;0;1;0;0;0;2;0;0;0;;;;142;6;3;;
402819;2018;0;1;0;0;0;2;0;0;0;;;;143;6;3;;
403076;2018;0;1;0;0;0;2;0;0;0;;;;144;6;3;;
404592;2018;0;1;0;0;0;2;0;0;0;;;;145;6;3;;
404595;2018;0;1;0;0;0;2;0;0;0;;;;146;6;3;;
405111;2018;0;1;0;0;0;2;0;0;0;;;;147;6;3;;
405205;2018;0;1;0;0;0;2;0;0;0;;;;148;6;3;;
405433;2018;0;1;0;0;0;2;0;0;0;;;;149;6;3;;
405662;2018;0;1;0;0;0;2;0;0;0;;;;150;6;3;;
405663;2018;0;1;0;0;0;2;0;0;0;;;;151;6;3;;
405665;2018;0;1;0;0;0;2;0;0;0;;;;152;6;3;;
405666;2018;0;1;0;0;0;2;0;0;0;;;;153;6;3;;
406408;2018;0;1;0;0;0;2;0;0;0;;;;154;6;3;;
406410;2018;0;1;0;0;0;2;0;0;0;;;;155;6;3;;
406793;2018;0;1;0;0;0;2;0;0;0;;;;156;6;3;;
406795;2018;0;1;0;0;0;2;0;0;0;;;;157;6;3;;
406953;2018;0;1;0;0;0;2;0;0;0;;;;158;6;3;;
407390;2018;0;1;0;0;0;2;0;0;0;;;;159;6;3;;
408454;2018;0;1;0;0;0;2;0;0;0;;;;160;6;3;;
408657;2018;0;1;0;0;0;2;0;0;0;;;;161;6;3;;
408870;2018;0;1;0;0;0;2;0;0;0;;;;162;6;3;;
409503;2018;0;1;0;0;0;2;0;0;0;;;;163;6;3;;
410003;2018;0;1;0;0;0;2;0;0;0;;;;164;6;3;;
413247;2018;0;1;0;0;0;2;0;0;0;;;;165;6;3;;
413853;2018;0;1;0;0;0;2;0;0;0;;;;166;6;3;;
413914;2018;0;1;0;0;0;2;0;0;0;;;;167;6;3;;
414070;2018;0;1;0;0;0;2;0;0;0;;;;168;6;3;;
414174;2018;0;1;0;0;0;2;0;0;0;;;;169;6;3;;
415186;2018;0;1;0;0;0;2;0;0;0;;;;170;6;3;;
417281;2018;0;1;0;0;0;2;0;0;0;;;;171;6;3;;
419051;2018;0;1;0;0;0;2;0;0;0;;;;172;6;3;;
420114;2018;0;1;0;0;0;2;0;0;0;;;;173;6;3;;
420781;2018;0;1;0;0;0;2;0;0;0;;;;174;6;3;;
420880;2018;0;1;0;0;0;2;0;0;0;;;;175;6;3;;
421880;2018;0;1;0;0;0;2;0;0;0;;;;176;6;3;;
422008;2018;0;1;0;0;0;2;0;0;0;;;;177;6;3;;
423288;2018;0;1;0;0;0;2;0;0;0;;;;178;6;3;;
425762;2018;0;1;0;0;0;2;0;0;0;;;;179;6;3;;
425931;2018;0;1;0;0;0;2;0;0;0;;;;180;6;3;;
425932;2018;0;1;0;0;0;2;0;0;0;;;;181;6;3;;
429262;2018;0;1;0;0;0;2;0;0;0;;;;182;6;3;;
429592;2018;0;1;0;0;0;2;0;0;0;;;;183;6;3;;
430709;2018;0;1;0;0;0;2;0;0;0;;;;184;6;3;;
430710;2018;0;1;0;0;0;2;0;0;0;;;;185;6;3;;
431211;2018;0;1;0;0;0;2;0;0;0;;;;186;6;3;;
432041;2018;0;1;0;0;0;2;0;0;0;;;;187;6;3;;
432428;2018;0;1;0;0;0;2;0;0;0;;;;188;6;3;;
432455;2018;0;1;0;0;0;2;0;0;0;;;;189;6;3;;
432820;2018;0;1;0;0;0;2;0;0;0;;;;190;6;3;;
433128;2018;0;1;0;0;0;2;0;0;0;;;;191;6;3;;
433236;2018;0;1;0;0;0;2;0;0;0;;;;192;6;3;;
433238;2018;0;1;0;0;0;2;0;0;0;;;;193;6;3;;
433240;2018;0;1;0;0;0;2;0;0;0;;;;194;6;3;;
433256;2018;0;1;0;0;0;2;0;0;0;;;;195;6;3;;
433719;2018;0;1;0;0;0;2;0;0;0;;;;196;6;3;;
434085;2018;0;1;0;0;0;2;0;0;0;;;;197;6;3;;
434091;2018;0;1;0;0;0;2;0;0;0;;;;198;6;3;;
435084;2018;0;1;0;0;0;2;0;0;0;;;;199;6;3;;
435140;2018;0;1;0;0;0;2;0;0;0;;;;200;6;3;;
435268;2018;0;1;0;0;0;2;0;0;0;;;;201;6;3;;
435786;2018;0;1;0;0;0;2;0;0;0;;;;202;6;3;;
437187;2018;0;1;0;0;0;2;0;0;0;;;;203;6;3;;
437350;2018;0;1;0;0;0;2;0;0;0;;;;204;6;3;;
437632;2018;0;1;0;0;0;2;0;0;0;;;;205;6;3;;
437796;2018;0;1;0;0;0;2;0;0;0;;;;206;6;3;;
437945;2018;0;1;0;0;0;2;0;0;0;;;;207;6;3;;
437949;2018;0;1;0;0;0;2;0;0;0;;;;208;6;3;;
438450;2018;0;1;0;0;0;2;0;0;0;;;;209;6;3;;
438455;2018;0;1;0;0;0;2;0;0;0;;;;210;6;3;;
438814;2018;0;1;0;0;0;2;0;0;0;;;;211;6;3;;
438815;2018;0;1;0;0;0;2;0;0;0;;;;212;6;3;;
438818;2018;0;1;0;0;0;2;0;0;0;;;;213;6;3;;
438980;2018;0;1;0;0;0;2;0;0;0;;;;214;6;3;;
439015;2018;0;1;0;0;0;2;0;0;0;;;;215;6;3;;
439016;2018;0;1;0;0;0;2;0;0;0;;;;216;6;3;;
439354;2018;0;1;0;0;0;2;0;0;0;;;;217;6;3;;
439356;2018;0;1;0;0;0;2;0;0;0;;;;218;6;3;;
439359;2018;0;1;0;0;0;2;0;0;0;;;;219;6;3;;
439435;2018;0;1;0;0;0;2;0;0;0;;;;220;6;3;;
439443;2018;0;1;0;0;0;2;0;0;0;;;;221;6;3;;
439607;2018;0;1;0;0;0;2;0;0;0;;;;222;6;3;;
439750;2018;0;1;0;0;0;2;0;0;0;;;;223;6;3;;
439899;2018;0;1;0;0;0;2;0;0;0;;;;224;6;3;;
439945;2018;0;1;0;0;0;2;0;0;0;;;;225;6;3;;
439948;2018;0;1;0;0;0;2;0;0;0;;;;226;6;3;;
440748;2018;0;1;0;0;0;2;0;0;0;;;;227;6;3;;
440752;2018;0;1;0;0;0;2;0;0;0;;;;228;6;3;;
440754;2018;0;1;0;0;0;2;0;0;0;;;;229;6;3;;
440979;2018;0;1;0;0;0;2;0;0;0;;;;230;6;3;;
441070;2018;0;1;0;0;0;2;0;0;0;;;;231;6;3;;
441071;2018;0;1;0;0;0;2;0;0;0;;;;232;6;3;;
441073;2018;0;1;0;0;0;2;0;0;0;;;;233;6;3;;
441074;2018;0;1;0;0;0;2;0;0;0;;;;234;6;3;;
441234;2018;0;1;0;0;0;2;0;0;0;;;;235;6;3;;
441239;2018;0;1;0;0;0;2;0;0;0;;;;236;6;3;;
441255;2018;0;1;0;0;0;2;0;0;0;;;;237;6;3;;
441305;2018;0;1;0;0;0;2;0;0;0;;;;238;6;3;;
441307;2018;0;1;0;0;0;2;0;0;0;;;;239;6;3;;
441482;2018;0;1;0;0;0;2;0;0;0;;;;240;6;3;;
441649;2018;0;1;0;0;0;2;0;0;0;;;;241;6;3;;
441665;2018;0;1;0;0;0;2;0;0;0;;;;242;6;3;;
441787;2018;0;1;0;0;0;2;0;0;0;;;;243;6;3;;
442094;2018;0;1;0;0;0;2;0;0;0;;;;244;6;3;;
442159;2018;0;1;0;0;0;2;0;0;0;;;;245;6;3;;
442574;2018;0;1;0;0;0;2;0;0;0;;;;246;6;3;;
443611;2018;0;1;0;0;0;2;0;0;0;;;;247;6;3;;
444388;2018;0;1;0;0;0;2;0;0;0;;;;248;6;3;;
445173;2018;0;1;0;0;0;2;0;0;0;;;;249;6;3;;
445331;2018;0;1;0;0;0;2;0;0;0;;;;250;6;3;;
445334;2018;0;1;0;0;0;2;0;0;0;;;;251;6;3;;
445756;2018;0;1;0;0;0;2;0;0;0;;;;252;6;3;;
445818;2018;0;1;0;0;0;2;0;0;0;;;;253;6;3;;
445819;2018;0;1;0;0;0;2;0;0;0;;;;254;6;3;;
445853;2018;0;1;0;0;0;2;0;0;0;;;;255;6;3;;
445986;2018;0;1;0;0;0;2;0;0;0;;;;256;6;3;;
446036;2018;0;1;0;0;0;2;0;0;0;;;;257;6;3;;
446290;2018;0;1;0;0;0;2;0;0;0;;;;258;6;3;;
447857;2018;0;1;0;0;0;2;0;0;0;;;;259;6;3;;
448125;2018;0;1;0;0;0;2;0;0;0;;;;260;6;3;;
448144;2018;0;1;0;0;0;2;0;0;0;;;;261;6;3;;
448259;2018;0;1;0;0;0;2;0;0;0;;;;262;6;3;;
449061;2018;0;1;0;0;0;2;0;0;0;;;;263;6;3;;
449067;2018;0;1;0;0;0;2;0;0;0;;;;264;6;3;;
449328;2018;0;1;0;0;0;2;0;0;0;;;;265;6;3;;
449459;2018;0;1;0;0;0;2;0;0;0;;;;266;6;3;;
451340;2018;0;1;0;0;0;2;0;0;0;;;;267;6;3;;
451360;2018;0;1;0;0;0;2;0;0;0;;;;268;6;3;;
451390;2018;0;1;0;0;0;2;0;0;0;;;;269;6;3;;
451451;2018;0;1;0;0;0;2;0;0;0;;;;270;6;3;;
451504;2018;0;1;0;0;0;2;0;0;0;;;;271;6;3;;
451548;2018;0;1;0;0;0;2;0;0;0;;;;272;6;3;;
451570;2018;0;1;0;0;0;2;0;0;0;;;;273;6;3;;
451623;2018;0;1;0;0;0;2;0;0;0;;;;274;6;3;;
451624;2018;0;1;0;0;0;2;0;0;0;;;;275;6;3;;
451629;2018;0;1;0;0;0;2;0;0;0;;;;276;6;3;;
451840;2018;0;1;0;0;0;2;0;0;0;;;;277;6;3;;
451841;2018;0;1;0;0;0;2;0;0;0;;;;278;6;3;;
451842;2018;0;1;0;0;0;2;0;0;0;;;;279;6;3;;
451845;2018;0;1;0;0;0;2;0;0;0;;;;280;6;3;;
451858;2018;0;1;0;0;0;2;0;0;0;;;;281;6;3;;
451861;2018;0;1;0;0;0;2;0;0;0;;;;282;6;3;;
451862;2018;0;1;0;0;0;2;0;0;0;;;;283;6;3;;
451898;2018;0;1;0;0;0;2;0;0;0;;;;284;6;3;;
451916;2018;0;1;0;0;0;2;0;0;0;;;;285;6;3;;
452038;2018;0;1;0;0;0;2;0;0;0;;;;286;6;3;;
452039;2018;0;1;0;0;0;2;0;0;0;;;;287;6;3;;
452162;2018;0;1;0;0;0;2;0;0;0;;;;288;6;3;;
452339;2018;0;1;0;0;0;2;0;0;0;;;;289;6;3;;
452510;2018;0;1;0;0;0;2;0;0;0;;;;290;6;3;;
452636;2018;0;1;0;0;0;2;0;0;0;;;;291;6;3;;
452644;2018;0;1;0;0;0;2;0;0;0;;;;292;6;3;;
452880;2018;0;1;0;0;0;2;0;0;0;;;;293;6;3;;
453555;2018;0;1;0;0;0;2;0;0;0;;;;294;6;3;;
453731;2018;0;1;0;0;0;2;0;0;0;;;;295;6;3;;
453741;2018;0;1;0;0;0;2;0;0;0;;;;296;6;3;;
453758;2018;0;1;0;0;0;2;0;0;0;;;;297;6;3;;
453760;2018;0;1;0;0;0;2;0;0;0;;;;298;6;3;;
453764;2018;0;1;0;0;0;2;0;0;0;;;;299;6;3;;
454114;2018;0;1;0;0;0;2;0;0;0;;;;300;6;3;;
454274;2018;0;1;0;0;0;2;0;0;0;;;;301;6;3;;
454276;2018;0;1;0;0;0;2;0;0;0;;;;302;6;3;;
454333;2018;0;1;0;0;0;2;0;0;0;;;;303;6;3;;
454334;2018;0;1;0;0;0;2;0;0;0;;;;304;6;3;;
454544;2018;0;1;0;0;0;2;0;0;0;;;;305;6;3;;
454673;2018;0;1;0;0;0;2;0;0;0;;;;306;6;3;;
454704;2018;0;1;0;0;0;2;0;0;0;;;;307;6;3;;
454790;2018;0;1;0;0;0;2;0;0;0;;;;308;6;3;;
454860;2018;0;1;0;0;0;2;0;0;0;;;;309;6;3;;
454962;2018;0;1;0;0;0;2;0;0;0;;;;310;6;3;;
454985;2018;0;1;0;0;0;2;0;0;0;;;;311;6;3;;
455019;2018;0;1;0;0;0;2;0;0;0;;;;312;6;3;;
455232;2018;0;1;0;0;0;2;0;0;0;;;;313;6;3;;
455274;2018;0;1;0;0;0;2;0;0;0;;;;314;6;3;;
455337;2018;0;1;0;0;0;2;0;0;0;;;;315;6;3;;
455408;2018;0;1;0;0;0;2;0;0;0;;;;316;6;3;;
455418;2018;0;1;0;0;0;2;0;0;0;;;;317;6;3;;
455691;2018;0;1;0;0;0;2;0;0;0;;;;318;6;3;;
455815;2018;0;1;0;0;0;2;0;0;0;;;;319;6;3;;
456512;2018;0;1;0;0;0;2;0;0;0;;;;320;6;3;;
456548;2018;0;1;0;0;0;2;0;0;0;;;;321;6;3;;
456583;2018;0;1;0;0;0;2;0;0;0;;;;322;6;3;;
456600;2018;0;1;0;0;0;2;0;0;0;;;;323;6;3;;
456724;2018;0;1;0;0;0;2;0;0;0;;;;324;6;3;;
456808;2018;0;1;0;0;0;2;0;0;0;;;;325;6;3;;
456809;2018;0;1;0;0;0;2;0;0;0;;;;326;6;3;;
456880;2018;0;1;0;0;0;2;0;0;0;;;;327;6;3;;
456936;2018;0;1;0;0;0;2;0;0;0;;;;328;6;3;;
457228;2018;0;1;0;0;0;2;0;0;0;;;;329;6;3;;
457229;2018;0;1;0;0;0;2;0;0;0;;;;330;6;3;;
457269;2018;0;1;0;0;0;2;0;0;0;;;;331;6;3;;
457303;2018;0;1;0;0;0;2;0;0;0;;;;332;6;3;;
457459;2018;0;1;0;0;0;2;0;0;0;;;;333;6;3;;
457554;2018;0;1;0;0;0;2;0;0;0;;;;334;6;3;;
457571;2018;0;1;0;0;0;2;0;0;0;;;;335;6;3;;
457572;2018;0;1;0;0;0;2;0;0;0;;;;336;6;3;;
457637;2018;0;1;0;0;0;2;0;0;0;;;;337;6;3;;
457660;2018;0;1;0;0;0;2;0;0;0;;;;338;6;3;;
457771;2018;0;1;0;0;0;2;0;0;0;;;;339;6;3;;
457777;2018;0;1;0;0;0;2;0;0;0;;;;340;6;3;;
457783;2018;0;1;0;0;0;2;0;0;0;;;;341;6;3;;
457825;2018;0;1;0;0;0;2;0;0;0;;;;342;6;3;;
458002;2018;0;1;0;0;0;2;0;0;0;;;;343;6;3;;
458046;2018;0;1;0;0;0;2;0;0;0;;;;344;6;3;;
458086;2018;0;1;0;0;0;2;0;0;0;;;;345;6;3;;
458088;2018;0;1;0;0;0;2;0;0;0;;;;346;6;3;;
458091;2018;0;1;0;0;0;2;0;0;0;;;;347;6;3;;
458126;2018;0;1;0;0;0;2;0;0;0;;;;348;6;3;;
458248;2018;0;1;0;0;0;2;0;0;0;;;;349;6;3;;
458250;2018;0;1;0;0;0;2;0;0;0;;;;350;6;3;;
458251;2018;0;1;0;0;0;2;0;0;0;;;;351;6;3;;
458270;2018;0;1;0;0;0;2;0;0;0;;;;352;6;3;;
458273;2018;0;1;0;0;0;2;0;0;0;;;;353;6;3;;
458630;2018;0;1;0;0;0;2;0;0;0;;;;354;6;3;;
458641;2018;0;1;0;0;0;2;0;0;0;;;;355;6;3;;
458777;2018;0;1;0;0;0;2;0;0;0;;;;356;6;3;;
458783;2018;0;1;0;0;0;2;0;0;0;;;;357;6;3;;
459025;2018;0;1;0;0;0;2;0;0;0;;;;358;6;3;;
459120;2018;0;1;0;0;0;2;0;0;0;;;;359;6;3;;
459681;2018;0;1;0;0;0;2;0;0;0;;;;360;6;3;;
459709;2018;0;1;0;0;0;2;0;0;0;;;;361;6;3;;
459806;2018;0;1;0;0;0;2;0;0;0;;;;362;6;3;;
459811;2018;0;1;0;0;0;2;0;0;0;;;;363;6;3;;
349551;2018;0;1;0;0;0;2;0;0;0;;;;364;3;3;;
349553;2018;0;1;0;0;0;2;0;0;0;;;;365;3;3;;
349957;2018;0;1;0;0;0;2;0;0;0;;;;366;3;3;;
350148;2018;0;1;0;0;0;2;0;0;0;;;;367;3;3;;
351103;2018;0;1;0;0;0;2;0;0;0;;;;368;3;3;;
351104;2018;0;1;0;0;0;2;0;0;0;;;;369;3;3;;
351105;2018;0;1;0;0;0;2;0;0;0;;;;370;3;3;;
351107;2018;0;1;0;0;0;2;0;0;0;;;;371;3;3;;
351108;2018;0;1;0;0;0;2;0;0;0;;;;372;3;3;;
351109;2018;0;1;0;0;0;2;0;0;0;;;;373;3;3;;
351110;2018;0;1;0;0;0;2;0;0;0;;;;374;3;3;;
351112;2018;0;1;0;0;0;2;0;0;0;;;;375;3;3;;
351116;2018;0;1;0;0;0;2;0;0;0;;;;376;3;3;;
351117;2018;0;1;0;0;0;2;0;0;0;;;;377;3;3;;
352059;2018;0;1;0;0;0;2;0;0;0;;;;378;3;3;;
353397;2018;0;1;0;0;0;2;0;0;0;;;;379;3;3;;
353398;2018;0;1;0;0;0;2;0;0;0;;;;380;3;3;;
353401;2018;0;1;0;0;0;2;0;0;0;;;;381;3;3;;
353417;2018;0;1;0;0;0;2;0;0;0;;;;382;3;3;;
353622;2018;0;1;0;0;0;2;0;0;0;;;;383;3;3;;
365681;2018;0;1;0;0;0;2;0;0;0;;;;384;3;3;;
365682;2018;0;1;0;0;0;2;0;0;0;;;;385;3;3;;
366880;2018;0;1;0;0;0;2;0;0;0;;;;386;3;3;;
367353;2018;0;1;0;0;0;2;0;0;0;;;;387;3;3;;
367355;2018;0;1;0;0;0;2;0;0;0;;;;388;3;3;;
367357;2018;0;1;0;0;0;2;0;0;0;;;;389;3;3;;
367361;2018;0;1;0;0;0;2;0;0;0;;;;390;3;3;;
367363;2018;0;1;0;0;0;2;0;0;0;;;;391;3;3;;
